Iter	fval		||grad||	alpha		delta
0	102496.46493610	193.30349555	0.00000000
1	83979.86852707	167.78980411	4.00000000	3.27680000
2	62296.24938791	142.43045451	1.00000000	1.63840000
3	50267.73006098	125.00556120	4.00000000	9.26503163
4	41135.49044672	109.40331472	8.00000000	15.78339306
5	35176.22869062	99.84485460	4.00000000	7.25007535
6	26749.93840261	83.91865817	8.00000000	10.32590926
7	24377.60460732	79.79278394	4.00000000	13.78439268
8	17917.80793786	66.96913339	2.00000000	2.14013673
9	14815.31105168	60.44432012	8.00000000	14.17971786
10	11596.02497377	52.16529238	8.00000000	12.54010368
11	9724.05456931	47.97709766	8.00000000	14.48876069
12	6328.30295489	37.72450218	16.00000000	15.14843947
13	5261.97648414	34.21838617	8.00000000	11.70782206
14	4905.17899262	30.90102410	1.00000000	2.48873730
15	4007.38781936	28.61523490	16.00000000	13.84985236
16	3323.84458387	26.47562710	8.00000000	12.56667534
17	3193.73341928	26.55700515	2.00000000	9.94691312
18	2701.77964327	22.77189442	8.00000000	7.16286390
19	1769.55927033	17.67647479	32.00000000	14.13245042
20	1515.75250095	17.94222960	1.00000000	0.00000000
21	1492.40373781	17.02177995	1.00000000	12.84824368
22	1102.88952764	14.19226074	16.00000000	10.22173234
23	850.95377298	13.43386838	4.00000000	5.38028698
24	826.47978215	12.53355966	2.00000000	13.88994005
25	723.27689606	12.53432097	8.00000000	8.33148808
26	642.82956607	10.79173032	8.00000000	10.08750220
27	490.39152099	9.28052104	8.00000000	6.28782134
28	412.33069357	8.56908484	8.00000000	11.91745563
29	379.20320810	8.80491274	2.00000000	5.94661369
30	355.96470166	9.58603944	2.00000000	9.04099063
31	345.18931211	8.86110317	1.00000000	11.26135580
32	335.79847294	8.50986227	1.00000000	10.20292893
33	318.00156929	7.02348426	1.00000000	2.76213040
34	270.20790538	7.66818022	16.00000000	15.35264698
35	260.10425334	7.37538244	2.00000000	13.08668325
36	253.75929686	6.51777545	1.00000000	6.84909546
37	198.89598871	6.70573173	4.00000000	3.94312678
38	191.05171797	6.74211329	1.00000000	5.32254809
39	185.89401783	6.50824529	1.00000000	5.10478979
40	183.95232918	7.46791134	0.12500000	1.45090439
41	178.51410531	6.47686983	1.00000000	7.98303024
42	174.05139801	6.07250444	1.00000000	9.19679296
43	165.22688771	5.69135443	4.00000000	15.08871036
44	148.59105885	6.02778557	1.00000000	4.75502552
45	142.19551676	6.07857214	1.00000000	8.35161345
46	138.09631686	5.39724294	1.00000000	5.80300684
47	135.73950374	5.92134983	1.00000000	12.00920012
48	133.91839069	5.92321233	1.00000000	14.31625534
49	131.46369165	5.27622996	1.00000000	13.85763745
50	128.07001011	5.07721792	2.00000000	15.62650308
51	122.46323535	5.48801447	2.00000000	9.70554573
52	115.61595860	5.38925832	1.00000000	2.98477411
53	77.67794081	4.77849858	1.00000000	0.00000000
54	66.38810070	3.99444784	2.00000000	3.77665663
55	54.50447712	4.40963940	4.00000000	7.44999519
56	39.69720596	4.05683344	1.00000000	0.81920000
57	35.53199382	4.47587008	1.00000000	5.67577549
58	32.32644291	3.01048979	2.00000000	10.52402954
59	12.42642608	2.53596844	1.00000000	0.00000000
60	11.34262724	2.25046321	1.00000000	5.02703152
61	10.97949934	2.51271398	1.00000000	10.61368641
62	10.69105703	2.55922840	1.00000000	14.84052782
63	10.40887815	2.44082501	1.00000000	15.46576937
64	10.10528449	2.28976587	1.00000000	13.44041781
65	9.73484327	2.26920033	1.00000000	10.09936036
66	8.88091118	2.17159112	1.00000000	3.75587650
67	6.59221921	2.35059090	1.00000000	2.27501481
68	5.99234403	1.54633610	1.00000000	5.70396351
69	0.14904681	1.26420228	0.50000000	0.00000000
70	0.13203987	1.23597192	1.00000000	3.39775623
71	0.02445586	0.10296138	0.00390625	0.20480000
72	0.02112722	0.18864286	0.25000000	0.00000000
73	0.02087726	0.24746046	0.25000000	0.46509089
74	0.01773822	0.06282957	0.01562500	0.00000000
75	0.00412709	0.04234502	1.00000000	0.00000000
76	0.00123586	0.02441232	1.00000000	0.00000000
77	0.00106534	0.02441859	1.00000000	0.00000000
78	0.00015969	0.00850471	0.50000000	0.00000000
79	0.00008839	0.00609525	1.00000000	0.00000000
80	0.00006851	0.00529945	1.00000000	0.00000000
81	0.00006132	0.00498427	1.00000000	0.00000000
82	0.00005760	0.00481579	1.00000000	0.00000000
83	0.00005598	0.00474050	1.00000000	0.00000000
84	0.00005500	0.00469470	1.00000000	0.00000000
85	0.00005460	0.00467564	1.00000000	0.00000000
86	0.00005431	0.00466217	1.00000000	0.00000000
87	0.00005422	0.00465759	1.00000000	0.00000000
88	0.00005413	0.00465336	1.00000000	0.00000000
89	0.00000000	0.00001471	0.50000000	0.00000000
90	0.00000000	0.00000000	0.50000000	0.00000000
