Iter	fval		||grad||	alpha		delta
0	9.49890510	12.00529244	0.00000000
1	8.06829136	11.26555326	0.06250000	0.00000000
2	5.55718658	8.58926433	0.25933546	0.00000000
3	1.95090506	4.10967900	0.65358108	0.00000000
4	-0.20400717	0.01841251	2.50845027	0.00000000
5	-0.20527678	0.01742111	3.99700467	0.00000000
6	-0.20556401	0.00184562	0.77808750	0.00000000
7	-0.20557079	0.00106751	1.07233011	0.00000000
8	-0.20557106	0.00134993	1.54679911	0.00000000
9	-0.20557158	0.00113107	0.11005677	0.00000000
10	-0.20557238	0.00065213	0.28748804	0.00000000
11	-0.20557243	0.00063864	1.34403126	0.00000000
12	-0.20557251	0.00056373	0.07985647	0.00000000
13	-0.20557266	0.00040405	0.19283320	0.00000000
14	-0.20557281	0.00002237	0.64303190	0.00000000
15	-0.20557281	0.00001068	1.00503671	0.00000000
16	-0.20557281	0.00000422	0.94887758	0.00000000
17	-0.20557281	0.00000271	1.11683242	0.00000000
18	-0.20557281	0.00000279	1.38041719	0.00000000
