Iter	fval		||grad||	alpha		CGiter		fcal		gcal		hcal
0	9.38941336e+04	1.12748243e+03	0.00000000e+00		1		1		0
1	8.86910992e+03	2.78933697e+02	1.00000000e+00	5.00000000e-01		5		5		1
2	3.47807763e+01	3.18118300e+01	1.00000000e+00	1.53670602e-01		9		9		2
3	-1.28475500e+02	8.48068324e-01	1.00000000e+00	3.13111935e-02		13		13		3
4	-1.28535582e+02	4.61779505e-01	1.00000000e+00	9.60971541e-01		17		17		4
5	-1.28582478e+02	1.63110799e-01	1.00000000e+00	5.00116901e-01		21		21		5
6	-1.28585971e+02	5.02534864e-02	1.00000000e+00	5.00091202e-01		25		25		6
7	-1.28586553e+02	1.40057817e-02	1.00000000e+00	5.00006793e-01		29		29		7
8	-1.28586570e+02	5.86220993e-03	1.00000000e+00	5.00001131e-01		33		33		8
9	-1.28586574e+02	1.99171531e-03	1.00000000e+00	5.00000032e-01		37		37		9
10	-1.28586575e+02	9.74904382e-04	1.00000000e+00	5.00000009e-01		41		41		10
11	-1.28586575e+02	3.68165406e-04	1.00000000e+00	5.00000002e-01		45		45		11
12	-1.28586575e+02	1.07577738e-04	1.00000000e+00	5.00000000e-01		49		49		12
