Iter	fval		||grad||	alpha		delta
0	14.20312500	12.75000000	0.00000000
1	1.14729433	5.94401521	0.25000000	13.10720000
2	0.65641114	0.11250334	0.40887299	13.10720000
3	0.65628808	0.05468805	0.99451498	13.10720000
4	0.65626449	0.03373529	1.07751301	13.10720000
5	0.65625570	0.02116759	1.08704022	13.10720000
6	0.65625166	0.01143571	1.02734836	13.10720000
7	0.65625008	0.00243604	0.80973656	13.10720000
8	0.65625001	0.00076700	0.87743146	13.10720000
9	0.65625000	0.00010423	0.75806424	13.10720000
10	0.65625000	0.00006889	1.10840914	13.10720000
11	0.65625000	0.00001994	0.86055352	13.10720000
