Iter	fval		||grad||	alpha		delta
0	191961.77739107	289961.95713108	0.00000000
1	110715.61376373	165721.74071665	1.00000000	0.00000000
2	84459.54623575	135272.53652538	1.00000000	0.00000000
3	62042.81132613	107335.11994354	1.00000000	0.00000000
4	43387.81125769	82082.25432478	1.00000000	0.00000000
5	28391.66129957	59719.59918637	1.00000000	0.00000000
6	16912.98263026	40493.87984964	1.00000000	0.00000000
7	8748.99535090	24699.80959987	1.00000000	0.00000000
8	3594.23451678	12674.50715016	1.00000000	0.00000000
9	966.70289202	4733.67997707	1.00000000	0.00000000
10	103.23480847	884.31705154	1.00000000	0.00000000
11	0.87970232	24.80727774	1.00000000	0.00000000
12	0.00000658	0.00436044	1.00000000	0.00000000
13	0.00000000	0.00000005	1.00000000	0.00000000
14	0.00000000	0.00000000	1.00000000	0.00000000
